id,name,card_no,card_provider,shop_no,shop_name,longitude,latitude,loc,prd_name,price,result,txdate
fo,박서현,3530471302508953,VISA 13 digit,23403362,하지커피,126.92937059431,37.4979114796368,"37.4979, 126.9294",샌드위치 세트,5500,승인,2022-11-29 08:08:04
ihyeonjeong,하영수,2719023041997487,VISA 13 digit,25869420,장수옥설렁탕도가니탕,127.04422015756,37.6764380495624,"37.6764, 127.0442",비빔밥,4000,승인,2022-12-04 12:52:24
seoyeongjo,장상철,6599439639509243,VISA 16 digit,16989974,꿈의숲코오롱하늘채어린이집,127.046554188417,37.6189169033284,"37.6189, 127.0466",커트,8000,승인,2022-11-29 11:10:58
minseogi,이예은,4423109586131,Diners Club / Carte Blanche,17262950,아그라,126.907647192475,37.51566141404,"37.5157, 126.9076",세탁료,6000,승인,2022-11-29 18:26:26
cunja92,윤영호,4516084318798364259,Maestro,16369496,모조,126.984847258669,37.4950313137942,"37.495, 126.9848",염색커트,17000,승인,2022-11-30 15:26:06
yeongceol67,장선영,4389918151640139,Mastercard,24569135,유명안경원,126.980098009377,37.5589827981479,"37.559, 126.9801",손수제비,7000,승인,2022-11-30 02:10:38
sunjahan,김영철,3582510821092960,American Express,22448073,인디고뱅크키즈,126.840482624445,37.5599197053739,"37.5599, 126.8405",컷트,7000,승인,2022-11-28 21:50:01
sgim,윤은지,2237763575375294,American Express,20333003,케르반레스토랑,126.995131387654,37.5343509743384,"37.5344, 126.9951",김치찌개,6000,승인,2022-12-04 09:33:51
joyeongceol,한미정,3505701380829645,Discover,12578554,할리스커피,127.002467085615,37.5408646681631,"37.5409, 127.0025",된장찌개,5000,승인,2022-12-01 20:46:43
ijeongnam,박경수,4858474715245769,Mastercard,21756536,푸른부동산,127.044694167654,37.5127315824682,"37.5127, 127.0447",주먹밥,1500,승인,2022-11-30 03:52:50
yeonggilbae,안민석,4690578429775523,Discover,14191395,대은인쇄,126.995164906292,37.5638875233243,"37.5639, 126.9952",미용료(파마),30000,승인,2022-11-29 11:33:55
eunjugim,차예진,4471638895149234462,Maestro,21886562,태영노래방,126.837003940832,37.5324940706756,"37.5325, 126.837",커트,7000,승인,2022-12-04 22:41:44
heojinu,안성수,30458848757807,VISA 19 digit,16159621,믿음수학학원,127.09356364349,37.5058812281364,"37.5059, 127.0936",우거지곰탕,9000,승인,2022-12-04 06:02:51
seungmin52,김성호,3513934544422185,JCB 16 digit,24887721,디이제이,127.050459847423,37.4790424971064,"37.479, 127.0505",김치찌개 백반,3500,승인,2022-12-01 10:26:37
